id,player_id_2025,first_name,second_name,web_name,team,team_name,element_type,position,now_cost,total_points_2024,games_played_2024,season
10223,223,Gabriel,Słonina,Slonina,7,Chelsea,1,GK,4.0,18,38,2025
10224,224,Marc,Cucurella Saseta,Cucurella,7,Chelsea,2,DEF,6.0,133,38,2025
10225,225,Reece,James,James,7,Chelsea,2,DEF,5.5,54,38,2025
10226,226,Trevoh,Chalobah,Chalobah,7,Chelsea,2,DEF,5.0,93,38,2025
10227,227,Levi,Samuels Colwill,Colwill,7,Chelsea,2,DEF,5.0,109,38,2025
10228,228,Malo,Gusto,Gusto,7,Chelsea,2,DEF,5.0,60,38,2025
10229,229,Benoît,Badiashile Mukinayi,B.Badiashile,7,Chelsea,2,DEF,4.5,7,38,2025
10230,230,Wesley,Fofana,Fofana,7,Chelsea,2,DEF,4.5,26,38,2025
10231,231,Mamadou,Sarr,M.Sarr,7,Chelsea,2,DEF,4.5,0,38,2025
10232,232,Tosin,Adarabioyo,Tosin,7,Chelsea,2,DEF,4.5,71,38,2025
10233,233,Josh,Acheampong,Acheampong,7,Chelsea,2,DEF,4.0,4,23,2025
10234,234,Aarón,Anselmino,Anselmino,7,Chelsea,2,DEF,4.0,0,14,2025
10235,235,Cole,Palmer,Palmer,7,Chelsea,3,MID,10.5,214,38,2025
10236,236,Pedro,Lomba Neto,Neto,7,Chelsea,3,MID,7.0,104,38,2025
10237,237,Enzo,Fernández,Enzo,7,Chelsea,3,MID,6.5,135,38,2025
10238,238,Estêvão,Almeida de Oliveira Gonçalves,Estêvão,7,Chelsea,3,MID,6.5,86,38,2025
10239,239,Jamie,Bynoe-Gittens,Gittens,7,Chelsea,3,MID,6.5,86,38,2025
10240,240,Christopher,Nkunku,Nkunku,7,Chelsea,3,MID,6.0,60,38,2025
10241,241,Moisés,Caicedo Corozo,Caicedo,7,Chelsea,3,MID,5.5,98,38,2025
10242,242,Kiernan,Dewsbury-Hall,Dewsbury-Hall,7,Chelsea,3,MID,5.0,18,38,2025
10243,243,Tyrique,George,George,7,Chelsea,3,MID,5.0,17,23,2025
10244,244,Roméo,Lavia,Lavia,7,Chelsea,3,MID,5.0,26,38,2025
10245,245,Mykhailo,Mudryk,Mudryk,7,Chelsea,3,MID,5.0,7,38,2025
10246,246,Andrey,Nascimento dos Santos,Andrey Santos,7,Chelsea,3,MID,4.5,0,38,2025
10247,247,Dário,Luís Essugo,D.Essugo,7,Chelsea,3,MID,4.5,135,38,2025
10248,248,Kendry,Páez Andrade,Paez,7,Chelsea,3,MID,4.5,135,38,2025
10249,249,João Pedro,Junqueira de Jesus,João Pedro,7,Chelsea,4,FWD,7.5,126,38,2025
10250,250,Liam,Delap,Delap,7,Chelsea,4,FWD,6.5,132,38,2025
10251,251,Nicolas,Jackson,N.Jackson,7,Chelsea,4,FWD,6.5,121,38,2025
10252,252,Marc,Guiu Paz,Marc Guiu,7,Chelsea,4,FWD,4.5,3,38,2025
10253,253,Dean,Henderson,Henderson,8,Crystal Palace,1,GK,5.0,135,38,2025
10254,254,Walter,Benítez,Benitez,8,Crystal Palace,1,GK,4.0,0,38,2025
10255,255,Remi,Matthews,Matthews,8,Crystal Palace,1,GK,4.0,0,38,2025
10256,256,Daniel,Muñoz Mejía,Muñoz,8,Crystal Palace,2,DEF,5.5,142,38,2025
10257,257,Maxence,Lacroix,Lacroix,8,Crystal Palace,2,DEF,5.0,114,35,2025
10258,258,Tyrick,Mitchell,Mitchell,8,Crystal Palace,2,DEF,5.0,123,38,2025
10259,259,Borna,Sosa,Sosa,8,Crystal Palace,2,DEF,5.0,25,37,2025
10260,260,Marc,Guéhi,Guéhi,8,Crystal Palace,2,DEF,4.5,116,38,2025
10261,261,Chris,Richards,Richards,8,Crystal Palace,2,DEF,4.5,68,38,2025
10262,262,Chadi,Riad Dnanou,Chadi Riad,8,Crystal Palace,2,DEF,4.0,1,38,2025
10263,263,Nathaniel,Clyne,Clyne,8,Crystal Palace,2,DEF,4.0,18,38,2025
10264,264,Rob,Holding,Holding,8,Crystal Palace,2,DEF,4.0,0,38,2025
10265,265,Caleb,Kporha,Kporha,8,Crystal Palace,2,DEF,4.0,2,32,2025
10266,266,Eberechi,Eze,Eze,8,Crystal Palace,3,MID,7.5,148,38,2025
10267,267,Ismaïla,Sarr,Sarr,8,Crystal Palace,3,MID,6.5,149,38,2025
10268,268,Cheick,Doucouré,Doucouré,8,Crystal Palace,3,MID,5.0,19,38,2025
10269,269,Romain,Esse,Esse,8,Crystal Palace,3,MID,5.0,22,16,2025
10270,270,Will,Hughes,Hughes,8,Crystal Palace,3,MID,5.0,67,38,2025
10271,271,Daichi,Kamada,Kamada,8,Crystal Palace,3,MID,5.0,45,38,2025
10272,272,Jefferson,Lerma Solís,Lerma,8,Crystal Palace,3,MID,5.0,58,38,2025
10273,273,Adam,Wharton,Wharton,8,Crystal Palace,3,MID,5.0,42,38,2025
10274,274,Asher,Agbinone,Agbinone,8,Crystal Palace,3,MID,4.5,2,36,2025
10275,275,Naouirou,Ahamada,Ahamada,8,Crystal Palace,3,MID,4.5,0,38,2025
10276,276,Justin,Devenny,Devenny,8,Crystal Palace,3,MID,4.5,34,36,2025
10277,277,Malcolm,Ebiowei,Ebiowei,8,Crystal Palace,3,MID,4.5,0,38,2025
10278,278,Jesurun,Rak-Sakyi,J.Rak-Sakyi,8,Crystal Palace,3,MID,4.5,0,38,2025
10279,279,Matheus,França de Oliveira,M.França,8,Crystal Palace,3,MID,4.5,9,38,2025
10280,280,David,Ozoh,Ozoh,8,Crystal Palace,3,MID,4.5,0,38,2025
10281,281,Kaden,Rodney,Rodney,8,Crystal Palace,3,MID,4.5,0,36,2025
10282,282,Franco,Umeh-Chibueze,Umeh,8,Crystal Palace,3,MID,4.5,0,36,2025
10283,283,Jean-Philippe,Mateta,Mateta,8,Crystal Palace,4,FWD,7.5,150,38,2025
10284,284,Eddie,Nketiah,Nketiah,8,Crystal Palace,4,FWD,5.5,53,38,2025
10285,285,Odsonne,Édouard,Édouard,8,Crystal Palace,4,FWD,5.0,0,28,2025
10286,286,Zach,Marsh,Marsh,8,Crystal Palace,4,FWD,4.5,0,28,2025
10287,287,Jordan,Pickford,Pickford,9,Everton,1,GK,5.5,158,38,2025
10288,288,Mark,Travers,Travers,9,Everton,1,GK,4.5,19,38,2025
10289,289,Harry,Tyrer,Tyrer,9,Everton,1,GK,4.0,0,38,2025
10290,290,Jarrad,Branthwaite,Branthwaite,9,Everton,2,DEF,5.5,88,38,2025
10291,291,James,Tarkowski,Tarkowski,9,Everton,2,DEF,5.5,105,38,2025
10292,292,Vitalii,Mykolenko,Mykolenko,9,Everton,2,DEF,5.0,121,38,2025
10293,293,Jake,O'Brien,O'Brien,9,Everton,2,DEF,5.0,65,38,2025
10294,294,Séamus,Coleman,Coleman,9,Everton,2,DEF,4.5,5,38,2025
10295,295,Michael,Keane,Keane,9,Everton,2,DEF,4.5,48,38,2025
10296,296,Nathan,Patterson,Patterson,9,Everton,2,DEF,4.5,14,38,2025
